title,governorate,city,maker,model,model_year,mileage,car_type,price,minimum_down_payment,link
Opel vectre c 2008 أوبل فيكترا سي,Qalyubia,El Oobor,OPEL,Vectra,2008,350000.0,Automatic,450000.0,,https://contactcars.com/en/used-cars/opel-vectra/7be4aad8e3b8?status=Used
هيونداي اكسنت 2015,Cairo,Nasr City,Hyundai,Accent,2015,200.0,Automatic,244000.0,,https://contactcars.com/en/used-cars/hyundai-accent/96e4b12e05d8?status=Used
كيا سيفيا وان موديل 1997,Asyut,Dayrout,Kia,Sephia,1997,269000.0,Automatic,195000.0,,https://contactcars.com/en/used-cars/kia-sephia/cf4c63443f0b?status=Used
بيجو301موديل2014,Cairo,Nasr City,Peugeot,301,2014,137000.0,Automatic,525000.0,,https://contactcars.com/en/used-cars/peugeot-301/252af2f0150f?status=Used
Citroen c 5 air croos,Giza,Sheikh Zayed,Citroen,C5 Aircross,2021,62000.0,Automatic,1550000.0,310000.0,https://contactcars.com/en/used-cars/citroen-c5_aircross/5045f6dc67f9?status=Used
هيونداى توسان 2021 اول فئه,Cairo,Madinaty,Hyundai,Tucson NX4e,2021,72000.0,Automatic,1750000.0,350000.0,https://contactcars.com/en/used-cars/hyundai-tucson_nx4e/8ba2df726a87?status=Used
هيونداى توسان 2019 فولى لودد,Cairo,Maadi,Hyundai,Tucson,2019,98000.0,Automatic,1630000.0,,https://contactcars.com/en/used-cars/hyundai-tucson/53431536edde?status=Used
"MG5 luxury 2022, 25000 km, excellent condition",Giza,Sheikh Zayed,MG,5,2022,25000.0,Automatic,830000.0,415000.0,https://contactcars.com/en/used-cars/mg-5/29cb2b931613?status=Used
هيونداي جيتز كامله اتوماتيك فابريكة بالكامل,Cairo,Heliopolis,Hyundai,Getz,2010,101000.0,Automatic,450000.0,,https://contactcars.com/en/used-cars/hyundai-getz/d66861fdda4a?status=Used
Glc300 coupe 2022 . . wakeel . . best price,Cairo,Nasr City,Mercedes,GLC 300,2022,60000.0,Automatic,4450000.0,890000.0,https://contactcars.com/en/used-cars/mercedes-glc_300/624ed4ecc1fa?status=Used?dealer=1519483
نيسان چوك ٢٠٢١,Cairo,Nasr City,Nissan,Juke,2021,70000.0,Automatic,480000.0,,https://contactcars.com/en/used-cars/nissan-juke/c8b7ed7b5186?status=Used?dealer=1519538
دي اس7 2022 Rivoli,Cairo,New Cairo & 5th Settlement,DS,7 Crossback,2022,47000.0,Automatic,700000.0,,https://contactcars.com/en/used-cars/ds-7_crossback/216c777539c8?status=Used?dealer=1519264
صني كسر زيرو باحسن سعر في مصر,Cairo,Nasr City,Nissan,Sunny,2023,32000.0,Automatic,970000.0,194000.0,https://contactcars.com/en/used-cars/nissan-sunny/378b59eed516?status=Used?dealer=1519525
رينوادجار 2018 فابريكا بالكاااامل,Cairo,Nasr City,Renault,Kadjar,2018,125000.0,Automatic,1450000.0,,https://contactcars.com/en/used-cars/renault-kadjar/03024e86981e?status=Used?dealer=1519525
ادفع 220الف و امتلك كادجار 2018 فابريكا بالكامل توب لاين,Cairo,Nasr City,Renault,Kadjar,2018,125000.0,Automatic,220000.0,,https://contactcars.com/en/used-cars/renault-kadjar/a966eaa3aeaf?status=Used?dealer=1519525
ادفع 100000 فقط وامتلك سيات توليدو موديل 2019 فابريكا بالكامل,Cairo,Nasr City,Seat,Toledo,2019,120000.0,Automatic,100000.0,,https://contactcars.com/en/used-cars/seat-toledo/4abd58fa8fe3?status=Used?dealer=1519525
كيا ريو 2014 فابريكا بالكامل,Cairo,Nasr City,Kia,Rio,2014,157000.0,Automatic,610000.0,,https://contactcars.com/en/used-cars/kia-rio/f0281fa11da1?status=Used?dealer=1519525
اودي A4,Cairo,Nasr City,Audi,A4,2013,170000.0,Automatic,330000.0,,https://contactcars.com/en/used-cars/audi-a4/39579dbfe9bd?status=Used?dealer=1519532
Bmw x1 Sdrive 18i 2021 وكيل,Cairo,Nasr City,BMW,X1,2022,50000.0,Automatic,2050000.0,,https://contactcars.com/en/used-cars/bmw-x1/ac03b35fd299?status=Used?dealer=1519545
رينو لوجان اوتوماتيك,Cairo,Ramsis & Ramsis Ext.,Renault,Logan,2016,74000.0,Automatic,575000.0,,https://contactcars.com/en/used-cars/renault-logan/a24e0d9a0b50?status=Used
